시트1	command
시트2	refinery
시트3	bunker
시트4	supply
시트5	barracks
시트6	factory
시트7	starport
시트8	scifac
시트9	machshop
시트10	physics
시트11	covert
시트12	comsat
시트13	nuke
시트14	engbay
시트16	lair
시트17	hatchery
시트18	hive
시트19	extractor
시트20	pool
시트21	hydraden
시트22	spire
시트23	gspire
시트24	ultracavern
시트25	defilermound
시트26	nydus
시트27	creep
시트28	sunken
시트29	spore
시트30	queensnest
시트31	evochamber
시트32	infested_command
시트33	nexus
시트34	pylon
시트35	assimilator
시트36	gateway
시트37	cannon
시트38	cyber
시트39	robo
시트40	stargate
시트41	robobay
시트42	fleet
시트43	tribunal
시트44	forge
시트45	archives
시트46	battery
시트47	observatory
시트48	citadel
